date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:11	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-5b05adb8-98e59e53143174da;;;%22	http://atechnologies.co.in/vendor/themify/fonts/themify.eot?	D:/Student%20Trainning/atechnologies.co.in/vendor/themify/fonts/themifyd41d.eot	(from http://atechnologies.co.in/vendor/themify/themify.css)
13:50:14	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	etag:%223931d-5b05adb8-232eb2c800a96479;gz%22	http://atechnologies.co.in/vendor/themify/fonts/themify.svg?-fvbane	D:/Student%20Trainning/atechnologies.co.in/vendor/themify/fonts/themify9f24.svg	(from http://atechnologies.co.in/vendor/themify/themify.css)
13:50:15	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:13%20GMT	http://atechnologies.co.in/vendor/scrollbar/mCSB_buttons.png	D:/Student%20Trainning/atechnologies.co.in/vendor/scrollbar/mCSB_buttons.png	(from http://atechnologies.co.in/vendor/scrollbar/scrollbar.min.css)
13:50:16	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%22db2c-5b05adb9-8f2177c6a34716c2;;;%22	http://atechnologies.co.in/vendor/themify/fonts/themify.woff?-fvbane	D:/Student%20Trainning/atechnologies.co.in/vendor/themify/fonts/themify9f24.woff	(from http://atechnologies.co.in/vendor/themify/themify.css)
13:50:16	8717/8717	---M--	200	added ('OK')	image/png	etag:%22220d-5b05adb4-81d41b15a3c074f2;;;%22	http://atechnologies.co.in/vendor/cubeportfolio/img/cbp-sprite.png	D:/Student%20Trainning/atechnologies.co.in/vendor/cubeportfolio/img/cbp-sprite.png	(from http://atechnologies.co.in/vendor/cubeportfolio/css/cubeportfolio.min.css)
13:50:17	78584/78584	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22132f8-5b05adb9-f35db0aa1ac132c2;;;%22	http://atechnologies.co.in/vendor/themify/fonts/themify.ttf?-fvbane	D:/Student%20Trainning/atechnologies.co.in/vendor/themify/fonts/themify9f24.ttf	(from http://atechnologies.co.in/vendor/themify/themify.css)
13:50:18	10964/10964	---M--	200	added ('OK')	image/png	etag:%222ad4-5b05ad68-7ac325b3c3733c8c;;;%22	http://atechnologies.co.in/img/widgets/worldmap.png	D:/Student%20Trainning/atechnologies.co.in/img/widgets/worldmap.png	(from http://atechnologies.co.in/css/style.css)
13:50:18	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:17%20GMT	http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.53.delayed	(from http://atechnologies.co.in/index)
13:50:19	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:17%20GMT	http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon	(from http://atechnologies.co.in/index)
13:50:19	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.55.delayed	(from http://atechnologies.co.in/php-course)
13:50:20	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:18%20GMT	http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon	(from http://atechnologies.co.in/php-course)
13:50:20	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.57.delayed	(from http://atechnologies.co.in/php-advance-course)
13:50:20	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:19%20GMT	http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon	(from http://atechnologies.co.in/php-advance-course)
13:50:20	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.59.delayed	(from http://atechnologies.co.in/cyber-security-course)
13:50:21	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:19%20GMT	http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon	(from http://atechnologies.co.in/cyber-security-course)
13:50:26	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.5e.delayed	(from http://atechnologies.co.in/cita-course)
13:50:26	696576/696576	---M--	200	added ('OK')	application/pdf	etag:%22aa100-5d1f886d-4fbddc4b456174fa;;;%22	http://atechnologies.co.in/img/training/Final%20Center%20%20Brochure(Colour).pdf	D:/Student%20Trainning/atechnologies.co.in/img/training/Final%20Center%20%20Brochure(Colour).pdf	(from http://atechnologies.co.in/)
13:50:27	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:26%20GMT	http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon.5f.delayed	(from http://atechnologies.co.in/cita-course)
13:50:28	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.61.delayed	(from http://atechnologies.co.in/photography)
13:50:28	0/-1	---M--	302	error ('')			http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon.62.delayed	(from http://atechnologies.co.in/photography)
13:50:28	65053/65053	---M--	200	added ('OK')	image/jpeg	etag:%221fd80-5b05ad6b-1d7962c2f0e3545b;;;%22	http://atechnologies.co.in/img/training/cyber-security/2.jpg	D:/Student%20Trainning/atechnologies.co.in/img/training/cyber-security/2.jpg	(from http://atechnologies.co.in/cyber-security-course)
13:50:31	61951/61951	---M--	200	added ('OK')	image/jpeg	etag:%221e34d-5b05ad6c-991873384f2aa42d;;;%22	http://atechnologies.co.in/img/training/cyber-security/4.jpg	D:/Student%20Trainning/atechnologies.co.in/img/training/cyber-security/4.jpg	(from http://atechnologies.co.in/cyber-security-course)
13:50:31	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.64.delayed	(from http://atechnologies.co.in/register)
13:50:31	0/-1	---M--	302	error ('')			http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon.65.delayed	(from http://atechnologies.co.in/register)
13:50:45	339312/339312	---M--	200	added ('OK')	application/pdf	etag:%2252d70-5b05ad6a-a456abd94fc6fc51;;;%22	http://atechnologies.co.in/img/training/cita/CITA-FRANSCHISE.pdf	D:/Student%20Trainning/atechnologies.co.in/img/training/cita/CITA-FRANSCHISE.pdf	(from http://atechnologies.co.in/cita-course)
13:50:46	61593/61593	---M--	200	added ('OK')	image/jpeg	etag:%223516b-5c44b283-4255b415aa9c26d0;;;%22	http://atechnologies.co.in/img/training/photography/photography.jpg	D:/Student%20Trainning/atechnologies.co.in/img/training/photography/photography.jpg	(from http://atechnologies.co.in/photography)
13:50:46	62/62	---M--	302	error ('Found')	text/plain	date:Mon,%2002%20Sep%202019%2008:20:35%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	D:/Student%20Trainning/unpkg.com/sweetalert/dist/sweetalert.min.66.delayed	(from http://atechnologies.co.in/register)
13:50:47	40808/40808	---M-Z	200	added ('OK')	application/javascript	etag:W/%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	D:/Student%20Trainning/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from http://atechnologies.co.in/register)
13:50:47	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:45%20GMT	http://atechnologies.co.in/js/jq.js	D:/Student%20Trainning/atechnologies.co.in/js/jq.68.delayed	(from http://atechnologies.co.in/teacher-reg)
13:50:47	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.69.delayed	(from http://atechnologies.co.in/teacher-reg)
13:50:47	0/-1	---M--	302	error ('')			http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon.6a.delayed	(from http://atechnologies.co.in/teacher-reg)
13:50:47	0/-1	---M--	302	error ('')			http://atechnologies.co.in/js/jq.js	D:/Student%20Trainning/atechnologies.co.in/js/jq.6c.delayed	(from http://atechnologies.co.in/teacher-required)
13:50:47	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.6d.delayed	(from http://atechnologies.co.in/teacher-required)
13:50:48	0/-1	---M--	302	error ('')			http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon.6e.delayed	(from http://atechnologies.co.in/teacher-required)
13:50:48	26625/26625	---M--	200	added ('OK')	image/png	etag:%226801-5b05ad67-7133438b6510fd2e;;;%22	http://atechnologies.co.in/img/mockups/pencil-01.png	D:/Student%20Trainning/atechnologies.co.in/img/mockups/pencil-01.png	(from http://atechnologies.co.in/teacher-reg)
13:50:49	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.70.delayed	(from http://atechnologies.co.in/contacts)
13:50:49	0/-1	---M--	302	error ('')			http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon.71.delayed	(from http://atechnologies.co.in/contacts)
13:50:49	0/-1	---M--	302	error ('')			http://atechnologies.co.in/js/jq.js	D:/Student%20Trainning/atechnologies.co.in/js/jq.72.delayed	(from http://atechnologies.co.in/free-course)
13:50:50	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.73.delayed	(from http://atechnologies.co.in/free-course)
13:50:50	0/-1	---M--	302	error ('')			http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon.74.delayed	(from http://atechnologies.co.in/free-course)
13:50:50	8675/8675	---M--	200	added ('OK')	image/jpeg	etag:%2221e3-5b05ad48-dd7b3befc36d72b;;;%22	http://atechnologies.co.in/img/1920x1080/15.jpg	D:/Student%20Trainning/atechnologies.co.in/img/1920x1080/15.jpg	(from http://atechnologies.co.in/)
13:50:53	24793/24793	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:20:50%20GMT	http://atechnologies.co.in/training-centers	D:/Student%20Trainning/atechnologies.co.in/training-centers	(from http://atechnologies.co.in/)
13:50:54	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:50%20GMT	http://atechnologies.co.in/Popover%20requires%20tooltip.js	D:/Student%20Trainning/atechnologies.co.in/Popover%20requires%20tooltip.js	(from http://atechnologies.co.in/vendor/bootstrap/js/bootstrap.min.js)
13:50:54	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:53%20GMT	http://atechnologies.co.in/cdnjs.cloudflare.com/ajax/libs/jquery-mousewheel/3.1.12/jquery.mousewheel.min.js	D:/Student%20Trainning/atechnologies.co.in/cdnjs.cloudflare.com/ajax/libs/jquery-mousewheel/3.1.12/jquery.mousewheel.min.js	(from http://atechnologies.co.in/vendor/scrollbar/jquery.scrollbar.min.js)
13:50:55	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:20:53%20GMT	http://atechnologies.co.in/faq	D:/Student%20Trainning/atechnologies.co.in/faq	(from http://atechnologies.co.in/index)
13:50:57	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	D:/Student%20Trainning/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://atechnologies.co.in/teacher-required)
13:50:57	0/-1	---M--	302	error ('')			http://atechnologies.co.in/events	D:/Student%20Trainning/atechnologies.co.in/events.77.delayed	(from http://atechnologies.co.in/training-centers)
13:50:57	0/-1	---M--	302	error ('')			http://atechnologies.co.in/index_coming_soon	D:/Student%20Trainning/atechnologies.co.in/index_coming_soon.78.delayed	(from http://atechnologies.co.in/training-centers)
13:50:57	72965/72965	---M--	200	added ('OK')	image/jpeg	etag:%222963a-5b05ad46-c32819188eab4fa8;;;%22	http://atechnologies.co.in/img/1920x1080/07.jpg	D:/Student%20Trainning/atechnologies.co.in/img/1920x1080/07.jpg	(from http://atechnologies.co.in/)
13:51:01	59144/59144	---M--	200	added ('OK')	image/jpeg	etag:%221cd25-5b05ad6b-fdbb506a522102ef;;;%22	http://atechnologies.co.in/img/training/cyber-security/3.jpg	D:/Student%20Trainning/atechnologies.co.in/img/training/cyber-security/3.jpg	(from http://atechnologies.co.in/cyber-security-course)
13:51:02	39806/39806	---M--	200	added ('OK')	image/png	etag:%229b7e-5b05ad66-778dd2d2fe184aad;;;%22	http://atechnologies.co.in/img/mockups/devices-01.png	D:/Student%20Trainning/atechnologies.co.in/img/mockups/devices-01.png	(from http://atechnologies.co.in/training-centers)
13:51:18	433583/433583	---M--	200	added ('OK')	application/pdf	etag:%2269daf-5c44b4e1-b297d14afd1a490f;;;%22	http://atechnologies.co.in/img/fee-structure/fee-structure.pdf	D:/Student%20Trainning/atechnologies.co.in/img/fee-structure/fee-structure.pdf	(from http://atechnologies.co.in/training-centers)
